Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,RP Software Documentation
GCCcore,"ACES, Rockfish",,,,,"The GNU Compiler Collection includes front ends for C, C++, Objective-C, Fortran, Ada, Go, and D, as well as libraries for these languages (libstdc++,...). GCC was originally written as the compiler for the GNU operating system. Description Source:https://gcc.gnu.org/",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/,ACES: https://hprc.tamu.edu/software/aces/
gcccuda,ACES,,,,,,,,ACES: https://hprc.tamu.edu/software/aces/
gdal,"ACES, Rockfish",library,,,,GDAL is a translator library for raster and vector geospatial data formats that is released under an MIT style Open Source License by the Open Source Geospatial Foundation. Description Source:https://gdal.org/,https://gdal.org/,https://gdal.org/gdal.pdf,ACES: https://hprc.tamu.edu/software/aces/
gdb,Anvil,,Debugger,,,"GDB, the GNU Project debugger, allows you to see what is going on `inside' another program while it executes -- or what another program was doing at the moment it crashed. Description Source:https://sourceware.org/gdb",https://www.sourceware.org/gdb/,https://www.sourceware.org/gdb/documentation/,Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/gdb
gdbm-1.18.1-gcc-9.3.0-33qtrum,KyRIC,,,,,,,,
Gdk-Pixbuf,ACES,,,,,The Gdk Pixbuf package is a toolkit for image loading and pixel buffer manipulation. It is used by GTK+ 2 and GTK+ 3 to load and manipulate images. In the past it was distributed as part of GTK+ 2 but it was split off into a separate package in preparation for the change to GTK+ 3. Description Source:https://www.linuxfromscratch.org/blfs/view/11.2/x/gdk-pixbuf.html,https://www.gtk.org/,https://docs.gtk.org/gdk-pixbuf/,ACES: https://hprc.tamu.edu/software/aces/
GDRCopy,ACES,,,,,"GDRCopy is a low-latency GPU memory copy library based on GPUDirect RDMA technology that allows the CPU to directly map and access GPU memory. GDRCopy also provides optimized copy APIs and is widely used in high-performance communication runtimes like UCX, OpenMPI, MVAPICH, and NVSHMEM. Description Source:https://developer.nvidia.com/gdrcopy",https://developer.nvidia.com/gdrcopy,https://github.com/NVIDIA/gdrcopy,ACES: https://hprc.tamu.edu/software/aces/
GeneMark-ES,Bridges-2,,Bioinformatics,Sciences,Biology,Novel eukaryotic genomes can be analyzed by the self-training GeneMark-ES. Description Source:http://exon.gatech.edu/GeneMark/,http://exon.gatech.edu/GeneMark/,http://exon.gatech.edu/genemark/gmes_instructions.html,Bridges-2: https://www.psc.edu/resources/software/genemark-es
gengetopt,Rockfish,,,,,Gengetopt is a tool to write command line option parsing code for C programs. Description Source:https://www.gnu.org/software/gengetopt/gengetopt.html,https://www.gnu.org/software/gengetopt/,https://www.gnu.org/software/gengetopt/gengetopt.html,
GeNT,Bridges-2,,,,,"GeNT is a FORTRAN program that computes the cross entropy for groups of sequences that have been assigned to groups on the basis of biochemical,physiological, or other biological property. The sequence assignments are cross-validated, again by the cross entropy measure, to check for problems with the alignment or group assignment. Sequences that were initially identified as “unclassified” are compared to all of the groups using position specific log-odds scores as described by Henikoff and Henikoff. Positions in the aligned sequences that are important for determining group membership are identified by having a high entropy for the entire alignment and a high entropy for one or more specific groups. Description Source:https://www.psc.edu/resources/software/gent/",https://www.psc.edu/resources/software/gent/,https://www.psc.edu/resources/software/gent/,Bridges-2: https://www.psc.edu/resources/software/gent
geos,"OOKAMI, ACES, Rockfish",library,mathematics,,,GEOS is a C/C++ library for computational geometry with a focus on algorithms used in geographic information systems (GIS) software. It implements the OGC Simple Features geometry model and provides all the spatial functions in that standard as well as many others. Description Source:https://libgeos.org/,https://libgeos.org/,https://libgeos.org/doxygen/, ACES: https://hprc.tamu.edu/software/aces/
geos-chem,Rockfish,,,,,GEOS-Chem is a global 3-D model of atmospheric chemistry driven by meteorological input from the Goddard Earth Observing System (GEOS) of the NASA Global Modeling and Assimilation Office. Description Source:https://geoschem.github.io/overview.html,https://geoschem.github.io/index.html,https://geos-chem.readthedocs.io/en/latest/geos-chem-shared-docs/supplemental-guides/related-docs.html#,
gethost,OOKAMI,,,,,,,,
gettext,"ACES, Rockfish",,,,,"Gettext is a software framework used for internationalization and localization of software applications, allowing them to be translated into multiple languages. It provides tools for developers to extract strings from their code, create and manage translation files, and compile these files into formats that can be used by the application to display the translated text, thereby making the software accessible to a global audience.",https://www.gnu.org/software/gettext/,https://www.gnu.org/software/gettext/manual/index.html,ACES: https://hprc.tamu.edu/software/aces/
gettext-0.21-gcc-9.3.0-x4s52y3,KyRIC,,,,,"Gettext is a software framework used for internationalization and localization of software applications, allowing them to be translated into multiple languages. It provides tools for developers to extract strings from their code, create and manage translation files, and compile these files into formats that can be used by the application to display the translated text, thereby making the software accessible to a global audience.",,,
gfbf,ACES,,,,,,,,ACES: https://hprc.tamu.edu/software/aces/
gh,Expanse,,,,,,,,
Ghostscript,ACES,application,,,,"Ghostscript is an interpreter for the PostScript®  language and PDF files. It is available under either the GNU GPL Affero license or  licensed for commercial use from Artifex Software, Inc. Ghostscript consists of a PostScript interpreter layer and a graphics library. Description Source:https://ghostscript.com/",https://ghostscript.com/,https://ghostscript.readthedocs.io/en/latest/,ACES: https://hprc.tamu.edu/software/aces/
giflib,ACES,package,,,,"Giflib is a software package designed for reading and writing GIF (Graphics Interchange Format) images. It provides a set of utilities for processing GIFs, including conversion to and from various formats, making it a valuable tool for developers working with GIF animations and image processing in applications or web services.",https://giflib.sourceforge.net/,https://giflib.sourceforge.net/intro.html,ACES: https://hprc.tamu.edu/software/aces/
Git,"Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish",service,Utilties,,,"Git is a distributed version control system, widely used for tracking changes in source code during software development. It allows multiple developers to work collaboratively on a project, providing tools for managing versions, resolving conflicts, and maintaining a history of changes made to the codebase.",https://git-scm.com/,https://git-scm.com/docs," Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/git"
git-2.29.0-gcc-9.3.0-3xgg4ng,KyRIC,,Utilties,,,"Git is a distributed version control system, widely used for tracking changes in source code during software development. It allows multiple developers to work collaboratively on a project, providing tools for managing versions, resolving conflicts, and maintaining a history of changes made to the codebase.",,,
git-annex,Rockfish,,Utilties,,,"git-annex allows managing files with git, without checking the file contents into git. While that may seem paradoxical, it is useful when dealing with files larger than git can currently easily handle, whether due to limitations in memory, checksumming time, or disk space. Description Source:https://git-annex.branchable.com/git-annex/",https://git-annex.branchable.com/,https://git-annex.branchable.com/git-annex/,
git-lfs,"Expanse, ACES, Rockfish",,Utilties,,,"Git Large File Storage (LFS) replaces large files such as audio samples, videos, datasets, and graphics with text pointers inside Git, while storing the file contents on a remote server like GitHub.com or GitHub Enterprise.",https://git-lfs.com/,https://github.com/git-lfs/git-lfs/tree/main/docs?utm_source=gitlfs_site&utm_medium=docs_link&utm_campaign=gitlfs, ACES: https://hprc.tamu.edu/software/aces/
GL2PS,ACES,library,,,,"GL2PS is a C library providing high quality vector output for any OpenGL application. The main difference between GL2PS and other similar libraries is the use of sorting algorithms capable of handling intersecting and stretched polygons, as well as non manifold objects. GL2PS provides advanced smooth shading and text rendering, culling of invisible primitives, mixed vector/bitmap output, and much more... Description Source:https://www.geuz.org/gl2ps/",https://www.geuz.org/gl2ps/,https://www.geuz.org/gl2ps/,ACES: https://hprc.tamu.edu/software/aces/
GLFW,ACES,library,,,,"GLFW is an Open Source, multi-platform library for OpenGL, OpenGL ES and Vulkan development on the desktop. It provides a simple API for creating windows, contexts and surfaces, receiving input and events. Description Source:https://www.glfw.org/",https://www.glfw.org/,https://www.glfw.org/documentation.html,ACES: https://hprc.tamu.edu/software/aces/
glib,"ACES, Rockfish",library,,,,"GLib is a general-purpose, portable utility library, which provides many useful data types, macros, type conversions, string utilities, file utilities, a mainloop abstraction, and so on. It is one of the base libraries of GTK+. Description Source:https://docs.gtk.org/glib/",https://www.gtk.org/,https://docs.gtk.org/glib/,ACES: https://hprc.tamu.edu/software/aces/
GLM,ACES,library,,,,"The GLM (OpenGL Mathematics) library is a header-only C++ library designed for graphics software development, providing a wide range of mathematical structures and functions. Inspired by the syntax and conventions of GLSL (OpenGL Shading Language), GLM is particularly useful for OpenGL applications, offering functionality for vectors, matrices, and other complex mathematical operations needed in 3D graphics programming.",https://github.com/g-truc/glm,https://github.com/g-truc/glm/blob/master/manual.md,ACES: https://hprc.tamu.edu/software/aces/
glpk,"ACES, Rockfish, Rockfish",package,,,,"The GLPK (GNU Linear Programming Kit) package is intended for solving large-scale linear programming (LP), mixed integer programming (MIP), and other related problems. It is a set of routines written in ANSI C and organized in the form of a callable library. Description Source:https://www.gnu.org/software/glpk/",https://www.gnu.org/software/glpk/,https://www.gnu.org/software/glpk/#documentation,ACES: https://hprc.tamu.edu/software/aces/
gmp,"OOKAMI, Anvil, ACES, Rockfish",library,,,,"GNU MP is a portable library written in C for arbitrary precision arithmetic on integers, rational numbers, and floating-point numbers. It aims to provide the fastest possible arithmetic for all applications that need higher precision than is directly supported by the basic C types. Description Source:https://gmplib.org/manual/Introduction-to-GMP",https://gmplib.org/,https://gmplib.org/manual/," Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/gmp ,  ACES: https://hprc.tamu.edu/software/aces/"
gmp-6.1.2-gcc-9.3.0-hpbiokz,KyRIC,,,,,"GNU MP is a portable library written in C for arbitrary precision arithmetic on integers, rational numbers, and floating-point numbers. It aims to provide the fastest possible arithmetic for all applications that need higher precision than is directly supported by the basic C types. Description Source:https://gmplib.org/manual/Introduction-to-GMP",,,
