Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing,RP Name,RP Full Software Doc
parflow,Rockfish,,,,,,,,,,,,,,
parmetis,"ACES, Delta, Rockfish",Library,,,,"ParMETIS is an MPI-based parallel library that implements a variety of algorithms for partitioning unstructured graphs, meshes, and for computing fill-reducing orderings of sparse matrices. ParMETIS extends the functionality provided by METIS and includes routines that are especially suited for parallel AMR computations and large scale numerical simulations. Description Source=http://glaros.dtc.umn.edu/gkhome/metis/parmetis/overview",http://glaros.dtc.umn.edu/gkhome/metis/parmetis/overview,,,,,,,,
parmetis_petsc,Stampede-2,,,,,,,,,,,,,,
pax-utils,OOKAMI,,,,,,,,,,,,,,
PCRE,ACES,,Bioinformatics,Sciences,Biology,,,,,,,,,,
PCRE2,ACES,,,Sciences,Biology,,,,,,,,,,
pcre2-10.35-gcc-9.3.0-wgo6kna,KyRIC,,,Sciences,Biology,,,,,,,,,,
pdtoolkit,"Stampede-2, KyRIC",,,,,,,,,,,,,,
pegasus,Rockfish,,,,,,,,,,,,,,
perl,"ACES, Bridges-2, Rockfish",,Programming Language,,,,,,,,,,,,
perl-5.32.1-gcc-9.3.0-szd4bmj,KyRIC,,Programming Language,,,,,,,,,,,,
petsc,"OOKAMI, Stampede-2, Anvil, ACES, Delta",Library,,,,"PETSc, the Portable, Extensible Toolkit for Scientific Computation, is for the scalable (parallel) solution of scientific applications modeled by partial differential equations (PDEs). It has bindings for C, Fortran, and Python (via petsc4py). Description Source=https://petsc.org/release/",https://petsc.org/release/,https://petsc.org/release/manual/,,,,,/apps/spack/anvil/apps/petsc/3.15.3-gcc-11.2.0-rlgtdhf/lib,,
petsc4py,Stampede-2,,,,,,,,,,,,,,
PGI,Bridges-2,,Compiler,,,,,,,,,,,,
phdf5,Stampede-2,,,,,,,,,,,,,,
PHYLIP,Bridges-2,,,,,,,,,,,,,,
physics-tenpy,ACES,,,,,,,,,,,,,,
picard,"Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,,,,,,,,,,
pigz,Expanse,,,,,,,,,,,,,,
Pillow,ACES,,,,,,,,,,,,,,
Pillow-SIMD,ACES,,,,,,,,,,,,,,
pixman,"ACES, Rockfish",,,,,,,,,,,,,,
pkg-config,ACES,,Utilties,,,,,,,,,,,,
pkgconf,"ACES, Rockfish",,Utilties,,,,,,,,,,,,
pkgconf-1.7.3-gcc-9.3.0-djk4uwd,KyRIC,,Utilties,,,,,,,,,,,,
pkgconfig,ACES,,Utilties,,,,,,,,,,,,
plink,Rockfish,,Bioinformatics,Sciences,Biology,,,,,,,,,,
plotly.py,ACES,,,,,,,,,,,,,,
PLUMED,"ACES, Delta, Bridges-2, Rockfish",Library,Simulation,Engineering,Chemistry,"PLUMED is an open-source library implementing enhanced-sampling algorithms, various free-energy methods, and analysis tools for molecular dynamics simulations. Description Source=https://www.plumed.org/",https://www.plumed.org/,https://www.plumed.org/doc,,,,,,,
PMIx,"KyRIC, ACES, Rockfish, Rockfish",,,,,,,,,,,,,,
pnetCDF,"Stampede-2, ACES, Bridges-2",,,,,,,,,,,,,,
pocl,ACES,,,,,,,,,,,,,,
polyfun,Rockfish,,,,,,,,,,,,,,
poppler,"ACES, Rockfish",,,,,,,,,,,,,,
popt-1.16-gcc-9.3.0-ijd34o6,KyRIC,,,,,,,,,,,,,,
posix2ime,Delta,,,,,,,,,,,,,,
Postgresql,Jetstream2,,,,,,,,,,,,,,
POV-Ray,ACES,,,,,,,,,,,,,,
Prodigal,Bridges-2,,,,,,,,,,,,,,
proj,"ACES, Rockfish",,,,,,,,,,,,,,
prokka,"Bridges-2, Rockfish",,,,,,,,,,,,,,
protobuf,"Anvil, ACES",,,,,,,,,,,,,,
protobuf-python,ACES,,,,,,,,,,,,,,
prun,KyRIC,,,,,,,,,,,,,,
pwanalyzer,OOKAMI,,,,,,,,,,,,,,
py-cython-0.29.21-gcc-9.3.0-u73np4p,KyRIC,Python LIbrary,,,,,,,,,,,,,
py-netcdf4,Rockfish,Python LIbrary,,,,,,,,,,,,,
py-setuptools-50.3.2-gcc-9.3.0-hrhyt55,KyRIC,Python LIbrary,,,,,,,,,,,,,
py3Dmol,ACES,Python LIbrary,,,,,,,,,,,,,
pybind11,"Stampede-2, ACES",Python LIbrary,,,,,,,,,,,,,
PyCairo,ACES,Python LIbrary,,,,,,,,,,,,,
PyCUDA,ACES,Python LIbrary,,,,,,,,,,,,,
pydantic,ACES,Python LIbrary,,,,,,,,,,,,,
pydicom,ACES,Python LIbrary,,,,,,,,,,,,,
PyGObject,ACES,Python LIbrary,,,,,,,,,,,,,
pylauncher,Stampede-2,Python LIbrary,,,,,,,,,,,,,
pyRosetta,Rockfish,Python LIbrary,,,,,,,,,,,,,
Pysam,ACES,Python LIbrary,,,,,,,,,,,,,
pytesseract,ACES,Python LIbrary,,,,,,,,,,,,,
pytest,ACES,Python LIbrary,,,,,,,,,,,,,
pytest-xdist,ACES,Python LIbrary,,,,,,,,,,,,,
PYTHIA,ACES,Python LIbrary,,,,,,,,,,,,,
Python,"OOKAMI, DARWIN, ACES, Delta, Rockfish",,Programming Language,,,,https://www.python.org/,https://docs.python.org/3/,,,,DARWIN: https://docs.hpc.udel.edu/software/python/python,,,
python_cacher,KyRIC,,,,,,,,,,,,,,
python-3.8.8-gcc-9.3.0-55y3cuq,DARWIN,,,,,,,,,,,,,,
Python-Anaconda,DARWIN,,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/anaconda/anaconda,,,
Python-htseq,Stampede-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
python2,"OOKAMI, Stampede-2",,,,,,,,,,,,,,
python3,OOKAMI,,,,,,,,,,,,,,
python37,Stampede-2,,,,,,,,,,,,,,
pyTorch,"OOKAMI, ACES, Rockfish",Library,"AI, Machine Learning",,,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs. Description Source=https://pytorch.org/docs/stable/index.html,https://pytorch.org/,https://pytorch.org/docs/stable/index.html,,,,,,,
PyTorch-Geometric,ACES,Python Library,,,,,,,,,,,,,
PyTorch-Lightning,ACES,Python Library,,,,,,,,,,,,,
PyYAML,ACES,Python Library,,,,,,,,,,,,,
qchem,Stampede-2,,,,Chemistry,,,,,,,,,,
qd,OOKAMI,,,,,,,,,,,,,,
qe,Rockfish,,,,,,,,,,,,,,
qemu,Anvil,,Bioinformatics,Sciences,Biology,,,,,,,,,,
Qhull,ACES,,,,,,,,,,,,,,
qiime2,Rockfish,,Bioinformatics,Sciences,Biology,,,,,,,,,,
qmn,Rockfish,,,,,,,,,,,,,,
qt,"Anvil, Rockfish",,,,,,,,,,,,,,
qt4,Stampede-2,,,,,,,,,,,,,,
qt5,"Stampede-2, ACES",,,,,,,,,,,,,,
Quantum Espresso,Bridges-2,Package,"Modeling, Simulation",Sciences,Chemistry,"Quantum Espresso is an integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale. It is based on density-functional theory, plane waves, and pseudopotentials. Description Source=https://www.quantum-espresso.org/",https://www.quantum-espresso.org/,https://www.quantum-espresso.org/documentation/,,,,,,,
quantum-espresso,OOKAMI,Package,"Modeling, Simulation",Sciences,Chemistry,"Quantum Espresso is an integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale. It is based on density-functional theory, plane waves, and pseudopotentials. Description Source=https://www.quantum-espresso.org/",https://www.quantum-espresso.org/,https://www.quantum-espresso.org/documentation/,,,,,,,
QuantumATK,DARWIN,application,"Material Simulation, Atomic-Scale Modeling, Simulation",,,"QuantumATK atomic-scale modeling software enables large-scale and thus more realistic material simulations, integrating multiple simulation methods, ranging from ab initio DFT to semi-empirical and classical force fields analysis, into an easy-to-use platform. Description Source=https://www.synopsys.com/manufacturing/quantumatk.html",https://www.synopsys.com/manufacturing/quantumatk.html,https://docs.quantumatk.com/,,,,DARWIN: https://docs.hpc.udel.edu/software/quantum-atk/quantum-atk,,,
QuantumEspresso,OOKAMI,Package,"Modeling, Simulation",Sciences,Chemistry,"Quantum Espresso is an integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale. It is based on density-functional theory, plane waves, and pseudopotentials. Description Source=https://www.quantum-espresso.org/",https://www.quantum-espresso.org/,https://www.quantum-espresso.org/documentation/,,,,,,,
r,"Jetstream2, OOKAMI, DARWIN, ACES, Bridges-2, Rockfish", ,R Programming Language,,,R is a language and environment for statistical computing and graphics. Description Source=https://www.r-project.org/,https://www.r-project.org/,https://cran.r-project.org/manuals.html,,,,DARWIN: https://docs.hpc.udel.edu/software/r/r,,,
R Studio,Jetstream2,application,IDE for R,,,"RStudio is an integrated development environment (IDE) for R and Python. It includes a console, syntax-highlighting editor that supports direct code execution, and tools for plotting, history, debugging, and workspace management.",https://posit.co/,https://docs.posit.co/ide/user/,,,,,,,
R_tamu,KyRIC,,R libray,,,,,,,,,,,,
r-4.0.4-gcc-9.3.0-y4fafhe,Rockfish,,R libray,,,,,,,,,,,,
r-raster,Rockfish,,R libray,,,,,,,,,,,,
r-sva,Rockfish,,R libray,,,,,,,,,,,,
r-textshaping,ACES,,R libray,,,,,,,,,,,,
RapidJSON,ACES,,,,,,,,,,,,,,
RAPIDS,Bridges-2,,,,,,,,,,,,,,
RAxML,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
Rclone,"Expanse, OOKAMI, Bridges-2",,Data Transfer,,,,,,,,,,,,
RDFlib,ACES,,,,,,,,,,,,,,
RDKit,ACES,,,,,,,,,,,,,,
RE2,ACES,,,,,,,,,,,,,,
re2c,ACES,,,,,,,,,,,,,,
readline,OOKAMI,,,,,,,,,,,,,,
readline-8.0-gcc-9.3.0-ek27n5r,KyRIC,,,,,,,,,,,,,,
readline-devel,OOKAMI,,,,,,,,,,,,,,
Redis,ACES,,,,,,,,,,,,,,
redis-py,ACES,,,,,,,,,,,,,,
referencelapack,Stampede-2,,,,,,,,,,,,,,
ReFrame,ACES,,,,,,,,,,,,,,
relion,Rockfish,,,,,,,,,,,,,,
remora,"Stampede-2, Rockfish",,,,,,,,,,,,,,
rhtslib,Rockfish,,,,,,,,,,,,,,
rising,ACES,,,,,,,,,,,,,,
rmats-turbo,Rockfish,,,,,,,,,,,,,,
RNAview,Bridges-2,,,,,,,,,,,,,,
rocm,Anvil,,,,,,,,,,,,,,
ROOT,ACES,,,,,,,,,,,,,,
rosetta,Stampede-2,,,,,,,,,,,,,,
rsamtools,Rockfish,,Bioinformatics,Sciences,Biology,,,,,,,,,,
rsem,Rockfish,,Bioinformatics,Sciences,Biology,,,,,,,,,,
Rstats,Stampede-2,,,,,,,,,,,,,,
RstatsPackages,Stampede-2,,,,,,,,,,,,,,
rstudio,"Stampede-2, Rockfish",application,Mathematics,,,"RStudio is an integrated development environment (IDE) for R and Python. It includes a console, syntax-highlighting editor that supports direct code execution, and tools for plotting, history, debugging, and workspace management.",https://posit.co/,https://docs.posit.co/ide/user/,,,,,,,
RstudioDesktop,Stampede-2,application,Mathematics,,,"RStudio Desktop is an integrated development environment (IDE) for R, a programming language for statistical computing and graphics. It provides a user-friendly interface with tools for plotting, history, debugging, and workspace management, aimed at enhancing the efficiency and experience of writing R code.",https://posit.co/download/rstudio-desktop/,,,,,,,,
Ruby,Rockfish,,,,,,,,,,,,,,
rust,"OOKAMI, ACES, Rockfish",,,,,,,,,,,,,,
SAMtools,"Stampede-2, ACES, Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,,,,,,,,,,
sanitytool,Stampede-2,,,,,,,,,,,,,,
ScaFaCoS,ACES,,,,,,,,,,,,,,
ScaLAPACK,"OOKAMI, DARWIN, ACES",Library,Mathematics,Engineering,Mathematics,"ScaLAPACK is a library of high-performance linear algebra routines for parallel distributed memory machines. ScaLAPACK solves dense and banded linear systems, least squares problems, eigenvalue problems, and singular value problems. Description Source=https://www.netlib.org/scalapack/",https://www.netlib.org/scalapack/,https://netlib.org/scalapack/slug/index.html,,,,DARWIN: https://docs.hpc.udel.edu/software/scalapack/scalapack,,,
scalasca,"OOKAMI, KyRIC",,,,,,,,,,,,,,
scikit-build,ACES,Library,,,,scikit-build is a Python build system for CPython C/C++/Fortran/Cython extensions using CMake. The scikit-build package is fundamentally just glue between the setuptools Python module and CMake. Description Source=https://scikit-build.readthedocs.io/en/latest/,https://scikit-build.readthedocs.io/en/latest/,https://scikit-build.readthedocs.io/en/latest/usage.html,,,,,,,
scikit-cuda,ACES,Library,,,,"scikit-cuda provides Python interfaces to many of the functions in the CUDA device/runtime, CUBLAS, CUFFT, and CUSOLVER libraries distributed as part of NVIDIA’s CUDA Programming Toolkit, as well as interfaces to select functions in the CULA Dense Toolkit. Description Source=https://scikit-cuda.readthedocs.io/en/latest/",https://scikit-cuda.readthedocs.io/en/latest/,https://scikit-cuda.readthedocs.io/en/latest/,,,,,,,
scikit-image,ACES,Library,,,,"Scikit-image is an open-source image processing library for Python that provides a collection of algorithms for segmentation, geometric transformations, color space manipulation, analysis, filtering, morphology, and more. It's designed to integrate seamlessly with other Python libraries such as NumPy and SciPy for scientific computing tasks.",https://scikit-image.org/,https://scikit-image.org/docs/stable/,,,,,,,
Scikit-learn,"ACES, Bridges-2",Library,AI/ML,,,"Scikit-learn is an open-source machine learning library for Python, known for its simplicity and accessibility. It provides a wide range of supervised and unsupervised learning algorithms, as well as tools for model fitting, data preprocessing, model selection, and evaluation.",https://scikit-learn.org/stable/,https://scikit-learn.org/stable/user_guide.html,,,,,,,
scipy,Bridges-2,Package,Mathematics,,,SciPy is a collection of mathematical algorithms and convenience functions built on NumPy . It adds significant power to Python by providing the user with high-level commands and classes for manipulating and visualizing data. Description Source=https://docs.scipy.org/doc/scipy-1.8.0/tutorial/general.html,https://scipy.org/,https://docs.scipy.org/doc/scipy/tutorial/index.html#user-guide,,,,,,,
SciPy-bundle,ACES,,,,,,,,,,,,,,
SCons,ACES,,,,,,,,,,,,,,
scorep,KyRIC,,,,,,,,,,,,,,
SCOTCH,ACES,,,,,,,,,,,,,,
screen,Rockfish,,,,,,,,,,,,,,
SDL2,ACES,,,,,,,,,,,,,,
SentencePiece,ACES,,,,,,,,,,,,,,
Serf,ACES,,,,,,,,,,,,,,
settarg,"Stampede-2, ACES",,,,,,,,,,,,,,
seurat,Rockfish,,,,,,,,,,,,,,
shadow-4.7-gcc-9.3.0-2hjnrcg,KyRIC,,,,,,,,,,,,,,
SHAP,ACES,,,,,,,,,,,,,,
shared,OOKAMI,,,,,,,,,,,,,,
Shiny,Jetstream2,,,,,,,,,,,,,,
siesta,"OOKAMI, Stampede-2",,,,,,,,,,,,,,
silo,"Stampede-2, Rockfish",,,,,,,,,,,,,,
singularity,"Jetstream2, OOKAMI, DARWIN, Bridges-2, Rockfish",service,Container,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source=https://apptainer.org/",https://apptainer.org/,https://apptainer.org/documentation/,,,,DARWIN: https://docs.hpc.udel.edu/software/singularity/singularity,,,
singularity-3.7.2-gcc-9.3.0-gpxljgj,KyRIC,,,,,,,,,,,,,,
singularitypro,Expanse,,,,,,,,,,,,,,
sionlib,KyRIC,,,,,,,,,,,,,,
SIRfindeR,Rockfish,,,,,,,,,,,,,,
slepc,"Stampede-2, ACES",,,,,,,,,,,,,,
slurm,"Expanse, OOKAMI, Rockfish",,Scheduler,,,,,,,,,,,,
slurm-env,Delta,,,,,,,,,,,,,,
snakemake,Rockfish,,,,,,,,,,,,,,
snappy,ACES,,,,,,,,,,,,,,
souporcell,Rockfish,,,,,,,,,,,,,,
spack,OOKAMI,,Software repo,,,,,,,,,,,,
spaCy,ACES,,,,,,,,,,,,,,
SPAdes,"Bridges-2, Rockfish",,,,,,,,,,,,,,
Spark,Bridges-2,,,,,,,,,,,,,,
spdlog,OOKAMI,,,,,,,,,,,,,,
spglib,ACES,,,,,,,,,,,,,,
spglib-python,ACES,,,,,,,,,,,,,,
spython,ACES,,,,,,,,,,,,,,
sqlite,"Anvil, ACES, Rockfish",,,,,,,,,,,,,,
sqlite-3.34.0-gcc-9.3.0-k5dhzbj,KyRIC,,,,,,,,,,,,,,
squashfs-4.4-gcc-9.3.0-kfis3v6,KyRIC,,,,,,,,,,,,,,
SRA toolkit,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
SRA-Toolkit,ACES,,Bioinformatics,Sciences,Biology,,,,,,,,,,
sra-tools,Rockfish,,Bioinformatics,Sciences,Biology,,,,,,,,,,
sratoolkit,"Expanse, Stampede-2",,Bioinformatics,Sciences,Biology,,,,,,,,,,
STAR,Rockfish,,Bioinformatics,Sciences,Biology,,,,,,,,,,
STAR Aligner,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
STAR-Fusion,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
statsmodels,ACES,,,,,,,,,,,,,,
subversion,"Expanse, Anvil, ACES, Delta, Rockfish",,,,,,,,,,,,,,
suitesparse,"Stampede-2, ACES",,,,,,,,,,,,,,
sundials,"Stampede-2, ACES, Rockfish",,,,,,,,,,,,,,
superlu,Stampede-2,,Scientific Library,,,,,,,,,,,,
SuperLU_DIST,Rockfish,,Scientific Library,,,,,,,,,,,,
superlu_seq,ACES,,Scientific Library,,,,,,,,,,,,
superlu-dist,Stampede-2,,Scientific Library,,,,,,,,,,,,
swig,"Stampede-2, Anvil, ACES, Rockfish",,,,,,,,,,,,,,
swr,Stampede-2,,,,,,,,,,,,,,
symphony,Rockfish,,,,,,,,,,,,,,
synthcity,ACES,,,,,,,,,,,,,,
szip,"ACES, Rockfish",,,,,,,,,,,,,,
tabix,Rockfish,,,,,,,,,,,,,,
TACC,Stampede-2,,,,,,,,,,,,,,
tacc_tips,Stampede-2,toolkit,,,,"HPC_Tips is a specialized database offering concise tips to assist users of High Performance Computing (HPC) systems. It features the 'showTips' program which displays random tips from its database, includes files with brief tips, provides a Python program to manage the database, and offers tools for configuration and installation of necessary programs.",https://github.com/TACC/HPC_Tips,https://github.com/TACC/HPC_Tips,,,,,,,
tacc-apptainer,Stampede-2,applicaiton,container,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source:https://apptainer.org/",https://apptainer.org/,https://containers-at-tacc.readthedocs.io/en/latest/singularity/01.singularity_basics.html,,,,,,,
tacc-singularity,Stampede-2,applicaiton,container,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source:https://apptainer.org/",https://apptainer.org/,https://containers-at-tacc.readthedocs.io/en/latest/singularity/01.singularity_basics.html,,,,,,,
tar-1.32-gcc-9.3.0-nne6lsp,KyRIC,,Utilitles,,,,,,,,,,,,
TAU,"OOKAMI, Stampede-2, KyRIC, DARWIN",,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/tau,,,
tbb,KyRIC,,,,,,,,,,,,,,
tbb32,KyRIC,,,,,,,,,,,,,,
Tcl,"ACES, Rockfish, Rockfish",,,,,,,,,,,,,,
tcl-intel,Rockfish,,,,,,,,,,,,,,
tcsh,ACES,,,,,,,,,,,,,,
Tecplot,DARWIN,,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/tecplot/tecplot,,,
TELEMAC-MASCARET,DARWIN,,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/telemac/telemac,,,
template,OOKAMI,,,,,,,,,,,,,,
tensorboard,ACES,,AI/ML,,,,,,,,,,,,
tensorboardX,ACES,,AI/ML,,,,,,,,,,,,
tensorflow,"DARWIN, ACES, Bridges-2, Rockfish",Library,AI/ML,,,"TensorFlow is an open-source machine learning framework developed by the Google Brain team. It provides a comprehensive, flexible ecosystem of tools, libraries, and community resources that enables researchers and developers to build and deploy machine learning-powered applications easily.",https://www.tensorflow.org/,https://www.tensorflow.org/guide,,,,DARWIN: https://docs.hpc.udel.edu/software/tensorflow/tensorflow,,,
TensorRT,ACES,,,,,,,,,,,,,,
tesseract,ACES,,,,,,,,,,,,,,
texinfo,Anvil,,,,,,,,,,,,,,
texlive,"Stampede-2, Anvil, Rockfish",,,,,,,,,,,,,,
Theano,"ACES, Bridges-2",,,,,,,,,,,,,,
TIGER,Bridges-2,,,,,,,,,,,,,,
time,ACES,,,,,,,,,,,,,,
tk,"Anvil, ACES, Rockfish",,,,,,,,,,,,,,
tk-intel,Rockfish,,,,,,,,,,,,,,
Tkinter,ACES,,,,,,,,,,,,,,
tmux,"ACES, Bridges-2",,Utilities,,,,,,,,,,,,
torchsampler,ACES,,,,,,,,,,,,,,
torchtext,ACES,,,,,,,,,,,,,,
torchvision,ACES,,,,,,,,,,,,,,
totalview,"Anvil, Rockfish",,"Debugger, Profiler",,,,,,,,,,,,
tqdm,ACES,,,,,,,,,,,,,,
transfig,Bridges-2,,,,,,,,,,,,,,
trilinos,"Stampede-2, ACES, Rockfish",,Bioinformatics,Sciences,Biology,,,,,,,,,,
trim_galore,Stampede-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
trimmomatic,Rockfish,,Bioinformatics,Sciences,Biology,,,,,,,,,,
Trinity,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
tRNAscan-se,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
trng,Stampede-2,,,,,,,,,,,,,,
typing-extensions,ACES,,,,,,,,,,,,,,
UCC,ACES,,,,,,,,,,,,,,
UCC-CUDA,ACES,,,,,,,,,,,,,,
UCX,"Expanse, OOKAMI, Anvil, KyRIC, ACES, Rockfish",,,,,,,,,,,,,,
UCX-CUDA,ACES,,,,,,,,,,,,,,
udunits,"Stampede-2, Anvil, ACES, Rockfish",,,,,,,,,,,,,,
udunits2,Anvil,,,,,,,,,,,,,,
umfpack,Stampede-2,,,,,,,,,,,,,,
UnZip,ACES,,,,,,,,,,,,,,
utf8proc,ACES,,,,,,,,,,,,,,
util-linux,"OOKAMI, ACES",,,,,,,,,,,,,,
util-linux-2.36-gcc-9.3.0-otku36t,KyRIC,,,,,,,,,,,,,,
util-linux-uuid-2.36-gcc-9.3.0-syp6lh5,KyRIC,,,,,,,,,,,,,,
util-macros-1.19.1-gcc-9.3.0-cpxnkry,KyRIC,,,,,,,,,,,,,,
VALET,DARWIN,,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/valet/valet,,,
valgrind,"Stampede-2, Anvil, KyRIC, Rockfish",,Debugging and profiler,,,,,,,,,,,,
VASP,"DARWIN, Bridges-2, Anvil",package,"SImulation, Modeling",Sciences,Chemistry,"The Vienna Ab initio Simulation Package (VASP) is a computer program for atomic scale materials modelling, e.g. electronic structure calculations and quantum-mechanical molecular dynamics, from first principles. Description Source=https://www.vasp.at/info/about/",https://www.vasp.at/,https://www.vasp.at/wiki/index.php/The_VASP_Manual,,,,DARWIN: https://docs.hpc.udel.edu/software/vasp/vasp,/apps/spack/anvil/apps/vasp/5.4.4.pl2-gcc-11.2.0-ivr3gqw/bin,,
VCF2MAF,Bridges-2,,,,,,,,,,,,,,
vcftools,"Bridges-2, Rockfish",,Bioinformatics,,,,,,,,,,,,
velocyto,Rockfish,,,,,,,,,,,,,,
vim,Rockfish,,Editor,,,,,,,,,,,,
VisiData,Bridges-2,,,,,,,,,,,,,,
Visit,"OOKAMI, Stampede-2, Delta, Bridges-2",,,,,,,,,,,,,,
vmd,"Stampede-2, ACES, Rockfish",application,"simulation, modeling, Chemistry",,Chemistry,"VMD is a molecular visualization program for displaying, animating, and analyzing large biomolecular systems using 3-D graphics and built-in scripting. VMD supports computers running MacOS X, Unix, or Windows, is distributed free of charge, and includes source code. Description Source=https://www.ks.uiuc.edu/Research/vmd/",https://www.ks.uiuc.edu/Research/vmd/,https://www.ks.uiuc.edu/Research/vmd/current/docs.html,,,,,,,
Voro++,ACES,,,,,,,,,,,,,,
vpl,KyRIC,,,,,,,,,,,,,,
vscodeserver,Rockfish,,,,,,,,,,,,,,
vtk,"Stampede-2, ACES",,,,,,,,,,,,,,
VTune,"Stampede-2, KyRIC, ACES, Bridges-2",,Debugging and profiling,,,,,,,,,,,,
wannier90,"Rockfish, Anvil",,,,,Wannier90 is an open-source code (released under GPLv2) for generating maximally-localized Wannier functions and using them to compute advanced electronic properties of materials with high efficiency and accuracy.,,,,,,,/apps/spack/anvil/external/vasp/wannier90-3.1.0-gcc-11.2.0/bin,,
Wayland,ACES,,,,,,,,,,,,,,
WebProxy,ACES,,,,,,,,,,,,,,
westpa,Delta,,,,,,,,,,,,,,
WIEN2k,Bridges-2,package,,,,"The program package WIEN2k allows to perform electronic structure calculations of solids using density functional theory (DFT). It is based on the full-potential (linearized) augmented plane-wave ((L)APW) + local orbitals (lo) method, one among the most accurate schemes for band structure calculations. Description Source=http://www.wien2k.at/",http://www.wien2k.at/,http://www.wien2k.at/reg_user/textbooks/usersguide.pdf,,,,,,,
WRF,"DARWIN, ACES",application,"Climate//Weather, Simulation",,,"The Weather Research and Forecasting (WRF) Model represents a cutting-edge mesoscale system for numerical weather prediction, designed to serve both atmospheric research and practical forecasting needs. Description Source=https://www.mmm.ucar.edu/models/wrf",https://www.mmm.ucar.edu/models/wrf,https://www2.mmm.ucar.edu/wrf/users/docs/user_guide_v4/contents.html,,,,DARWIN: https://docs.hpc.udel.edu/software/wrf/wrf,,,
wxWidgets,ACES,,,,,,,,,,,,,,
X11,"ACES, Rockfish",,,,,,,,,,,,,,
x264,ACES,,,,,,,,,,,,,,
x265,ACES,,,,,,,,,,,,,,
xalt,"Stampede-2, Rockfish",,,,,,,,,,,,,,
xarray,ACES,,,,,,,,,,,,,,
xclock,Delta,,,,,,,,,,,,,,
Xerces-C++,ACES,,,,,,,,,,,,,,
Xfig,Bridges-2,,,,,,,,,,,,,,
XGBoost,ACES,,,,,,,,,,,,,,
XML-LibXML,ACES,,,,,,,,,,,,,,
xorg-macros,ACES,,,,,,,,,,,,,,
xpdf,Rockfish,,,,,,,,,,,,,,
xpmem,OOKAMI,,,,,,,,,,,,,,
xprop,ACES,,,,,,,,,,,,,,
xtb,Rockfish,,,,,,,,,,,,,,
xv,Rockfish,,,,,,,,,,,,,,
Xvfb,ACES,,,,,,,,,,,,,,
xxd,ACES,,,,,,,,,,,,,,
XZ,"ACES, Rockfish",,,,,,,,,,,,,,
xz-5.2.5-gcc-9.3.0-q5425k6,KyRIC,,,,,,,,,,,,,,
YACS,ACES,,,,,,,,,,,,,,
yaml,OOKAMI,,,,,,,,,,,,,,
Yasm,ACES,,,,,,,,,,,,,,
Z3,ACES,,,,,,,,,,,,,,
zarr,ACES,,,,,,,,,,,,,,
ZeroMQ,ACES,,,,,,,,,,,,,,
Zip,ACES,,Utiltiles,,,,,,,,,,,,
zlib,"Anvil, ACES, Rockfish",,,,,,,,,,,,,,
zlib-1.2.11-gcc-9.3.0-mdobuge,KyRIC,,,,,,,,,,,,,,
Zoltan,"Stampede-2, Bridges-2",,,,,,,,,,,,,,
zsh,"OOKAMI, Rockfish",,,,,,,,,,,,,,
zstd,"Anvil, ACES",,,,,,,,,,,,,,
zstd-1.4.5-gcc-9.3.0-46avrcd,KyRIC,,,,,,,,,,,,,,
