software name,RP Name,Description,core features,tags,software type,software class,research field,research area,research discipline,Software's Web Page,Software Documentation,Tutorials
pybind11,"aces, faster","pybind11 is a lightweight header-only library that enables seamless interoperability between C++11 or later and Python. It provides a simple and concise way to expose C++ functions and classes to Python, making it easy to write Python bindings for existing C++ code.","Header-only library, Seamless interoperability between C++ and Python, Minimal boilerplate code required, Supports Python 2 and 3 as well as CPython and PyPy interpreters, Flexible and efficient conversion of data types","C++, Python, Interoperability, Bindings",,Library,"Computer and Information Sciences, Computer Science",,,https://github.com/pybind/pybind11,https://pybind11.readthedocs.io/en/stable/,"https://pybind11.readthedocs.io/en/stable/basics.html , https://github.com/pybind/pybind11/tree/master/tests , https://pybind11.readthedocs.io/en/stable/advanced/misc.html"
ambertools,"aces, faster","AmberTools is a suite of software for molecular dynamics simulations, energy minimization, and trajectory analysis in the field of computational chemistry. It provides tools for the refinement and analysis of biomolecular structures.","AmberTools offers a wide range of functionality for molecular dynamics simulations, including energy minimization, molecular dynamics simulation, structure analysis, and visualization. It supports various force fields and parameters for simulating biomolecules.","molecular dynamics, computational chemistry, biomolecular structure, energy minimization",Simulation Software,Software Tools,Biological Sciences,Structural Biology,Biophysics,,,
pigz,"aces, expanse, faster","pigz, which stands for parallel implementation of gzip, is a compression utility that uses multiple processors and cores to compress files quickly and efficiently. It is compatible with gzip and gunzip, allowing for seamless integration with existing gzip workflows.","Parallel compression using multiple processors/cores, High compression/decompression speed, Integration with gzip and gunzip utilities, Multi-threading support","Compression, Parallel Processing, Utility, Command-line tool",Utility,Compression Tool,Computer and Information Sciences,,,https://zlib.net/pigz/,https://zlib.net/pigz/pigz.pdf,"https://www.geeksforgeeks.org/how-to-compress-files-faster-with-pigz-tool-in-linux/ , https://linuxhandbook.com/pigz/ "
parasail,faster,"Parasail is a SIMD C library for global, semi-global, and local pairwise sequence alignments. It is optimized for typical x86 and x86-64 architectures, automatically detecting and using AVX, AVX2, and/or SSE4.1 vectorization as well as the KNC instruction set when available. Parasail includes the Smith-Waterman-Gotoh algorithm for local alignments and the Needleman-Wunsch algorithm for global alignments.","1. Efficiently performs global, semi-global, and local pairwise sequence alignments.
2. Utilizes SIMD optimizations for optimized performance.
3. Supports various sequence alignment algorithms like Smith-Waterman-Gotoh and Needleman-Wunsch.
4. Written in C for easy integration into existing codebases.","bioinformatics, computational software, HPC tools",library,computation,Biological Sciences,,,,,
singlem,anvil,"SingleM is a standalone toolkit for microbial population genomics that enables the assembly, annotation, and variant calling of individual microbial genomes from metagenomes.","Assembly of individual microbial genomes from metagenomic data, Annotation of microbial genomes, Variant calling within microbial populations","microbial genomics, metagenomics, genome assembly, variant calling",Bioinformatics,Analysis and Visualization,Biological Sciences,Microbial Genomics,Genomics,,,
paml,anvil,PAML (Phylogenetic Analysis by Maximum Likelihood) is a package of programs for phylogenetic analysis of DNA or protein sequences using maximum likelihood. It provides a wide range of tools for evolutionary analysis and inference in a phylogenetic context.,"Key features of PAML include phylogeny inference, evolutionary rate estimation, branch-site and branch-specific models, selection analysis, divergence time estimation, and codon models. It allows users to perform various tests and analyses to understand the evolutionary mechanisms underlying sequence data.","phylogenetics, evolutionary analysis, maximum likelihood, phylogenetic inference",Computational software,Bioinformatics,Biological Sciences,Molecular Biology,Genetics,,,
r-readr,expanse,readr is a R package used for reading flat/tabular text files into R easily and efficiently. It provides a high-performance and user-friendly way to import structured data from files.,"Efficient reading of delimited files, Support for various file formats like CSV, TSV, FWF, Consistent and predictable behavior for column types, Easy handling of file encoding and column specification","data import, data processing, data manipulation",R Package,Data Analysis,Other Mathematics,,,,,
r-lumi,expanse,"R package for the analysis of luminescence data in archaeology and geosciences. It provides functions for reading luminescence data, data processing, statistical analysis, and visualization.","1. Reading and processing of luminescence data files
2. Statistical analysis of luminescence data
3. Visualization tools for luminescence data
4. Integration with other R packages for comprehensive analysis","Luminescence Data, Data Analysis, R Package",Research Tool,Data Analysis,Other Natural Sciences,Archaeology and Geosciences,Earth and Environmental Sciences,,,
maturin,aces,"Maturin is a Rust-native build system for Python packages that allows users to create wheels for their Python packages written in Rust. It aims to simplify the process of packaging and distributing Python extensions written in Rust, providing a seamless integration between Rust and Python ecosystems.","Facilitates building Python packages with Rust extensions, Enables creation of Python wheels for packages with Rust code, Simplifies distribution and packaging process for hybrid Rust-Python projects","Python packaging, Rust programming language, Build system, Python extensions, Package distribution",Build System,Development Tools,Computer and Information Sciences,,,,,
perl-bioperl,"anvil, expanse",BioPerl is a collection of Perl modules that provide a toolkit for bioinformatics programming. It aims to facilitate the development of bioinformatics applications by providing reusable components and utilities.,"Access to biological databases, Sequence analysis tools, Phylogenetic analysis, Structural biology support, Data manipulation and conversion functions","Bioinformatics, Perl, Computational Biology, Sequence Analysis, Structural Biology",Toolkit,Library,Biological Sciences,Bioinformatics,Molecular Biology,,,
